Station,Zone,Postcode,Latitude,Longitude,Easting,Northing
Dundonald Road,"3,4,5,6",SW19 3QJ,51.417398,-0.207527,524741,170233
Ealing Broadway,3,W5 2NU,51.514861,-0.30201,517920,180915
Ealing Common,3,W5 3LD,51.510248,-0.287151,518963,180426
Earls Court,"1,2",SW5 9QA,51.491356,-0.194314,525457,178480
Earlsfield,3,SW18 4SW,51.442239,-0.187273,526081,173030
East Acton,2,W12 0BP,51.516263,-0.248112,521656,181159
East Croydon,5,CR0 1LF,51.375716,-0.091863,532904,165801
East Dulwich,2,SE22 8EF,51.461625,-0.080437,533449,175375
East Finchley,3,N2 0NW,51.587332,-0.164744,527242,189204
East Ham,"3,4",E6 2JA,51.539246,0.051516,542373,184255
East India,"2,3",E14 9PS,51.508684,-0.00237,538729,180753
East Putney,"2,3",SW15 6SN,51.458879,-0.210998,524387,174840
Eastcote,5,HA5 1QZ,51.576551,-0.396823,511191,187627
Eden Park,5,BR3 3HQ,51.390796,-0.02667,537396,167598
Edgware,5,HA8 7AW,51.614229,-0.275094,519527,192009
Edgware Road (Bakerloo),1,W2 1DY,51.520645,-0.17054,527026,181778
Edgware Road (Circle/District/Hammersmith and City),1,NW1 5DH,51.519998,-0.167668,527227,181711
Edmonton Green,4,N9 9DX,51.625116,-0.061639,534273,193590
Elephant and Castle,"1,2",SE1 6LW,51.495849,-0.100739,531940,179144
Elm Park,6,RM12 4RW,51.549125,0.197253,552446,185647
Elmers End,4,BR3 4EJ,51.398291,-0.049464,535788,168389
Elmstead Woods,4,BR7 5EW,51.417081,0.044229,542247,170656
Elstree and Borehamwood,6,WD6 3LS,51.652875,-0.279829,519098,196299
Eltham,4,SE9 6UB,51.455662,0.052329,542690,174962
Elverson Road,"2,3",SE8 4LA,51.468372,-0.016816,537848,176243
Embankment,1,WC2N 6NS,51.507312,-0.122367,530406,180380
Emerson Park,6,RM11 2JR,51.569115,0.220223,553971,187918
Enfield Chase,5,EN2 7AA,51.652722,-0.090704,532181,196607
Enfield Lock,6,EN3 6BW,51.670846,-0.028391,536437,198737
Enfield Town,5,EN1 1YB,51.65197,-0.07933,532970,196544
Epping,6,CM16 4HW,51.693686,0.113826,546197,201552
Epsom,9,KT19 8EW,51.334391,-0.268778,520700,160900
Epsom Downs,6,KT17 4JX,51.323659,-0.23897,522805,159756
Erith,6,DA8 1TY,51.481648,0.174261,551075,178096
Essex Road,2,N1 2SU,51.540633,-0.096366,532114,184132
Euston,1,NW1 2DU,51.528664,-0.133296,529587,182735
Euston Square,1,NW1 2BN,51.525468,-0.135344,529454,182376
Ewell East,6,KT17 1QR,51.345243,-0.241503,522571,162152
Ewell West,6,KT17 1TU,51.349991,-0.257089,521473,162654
Fairlop,4,IG6 3HD,51.59611,0.090593,544902,190655
Falconwood,4,SE9 2RN,51.459086,0.07851,544498,175394
Farringdon,1,EC1M 6BY,51.520196,-0.104843,531585,181844
Feltham,6,TW13 4BY,51.447879,-0.409824,510601,173298
Fenchurch Street,1,EC3M 4AJ,51.511567,-0.078554,533434,180932
Fieldway,"3,4,5,6",CR0 0QA,51.351317,-0.024503,537665,163212
Finchley Central,4,N3 2RY,51.600903,-0.193221,525232,190664
Finchley Road,2,NW6 3BS,51.547096,-0.180051,526293,184703
Finchley Road and Frognal,2,NW3 5HT,51.550119,-0.183651,526035,185033
Finsbury Park,2,N4 3JU,51.564635,-0.105881,531385,186784
Forest Gate,3,E7 0QH,51.549316,0.024189,540447,185322
Forest Hill,3,SE23 3HD,51.439308,-0.053329,535398,172943
Fulham Broadway,2,SW6 1BY,51.480261,-0.195544,525402,177244
Fulwell,6,TW2 5NY,51.433942,-0.349439,514832,171841
Gallions Reach,3,E6 6FZ,51.509034,0.071775,543873,180935
Gants Hill,4,IG2 6UD,51.576553,0.066084,543266,188432
George Street,"3,4,5,6",CRO 1LA,51.373966,-0.098718,532432,165594
Gidea Park,6,RM2 6BX,51.581866,0.205977,552941,189306
Gipsy Hill,3,SE19 1PL,51.424469,-0.083835,533321,171237
Gloucester Road,1,SW7 4SF,51.494499,-0.183544,526196,178848
Golders Green,3,NW11 7RN,51.572215,-0.194835,525199,187471
Goldhawk Road,2,W12 8EG,51.502077,-0.227404,523131,179616
Goodge Street,1,W1T 2HF,51.520613,-0.134808,529505,181837
Goodmayes,4,IG3 9UH,51.566181,0.11173,546462,187369
Gordon Hill,5,EN2 0QU,51.663502,-0.094473,531889,197799
Gospel Oak,2,NW5 1LT,51.555405,-0.151301,528263,185677
Grange Hill,4,IG7 5QB,51.613481,0.092273,544963,192590
Grange Park,5,N21 1RE,51.642623,-0.097314,531753,195472
Gravel Hill,"3,4,5,6",CR0 5BJ,51.354543,-0.043122,536359,163536
Great Portland Street,1,W1W 5PP,51.523789,-0.143961,528861,182174
Green Park,1,W1J 7BX,51.50676,-0.142478,529012,180283
Greenford,4,UB6 8PR,51.54198,-0.345879,514808,183861
Greenwich,"2,3",SE10 8JQ,51.477548,-0.014863,537956,177267
Grove Park,4,SE12 0PW,51.430433,0.022599,540702,172099
Gunnersbury,3,W4 5RP,51.491863,-0.275164,519843,178401
Hackbridge,4,SM6 7BJ,51.377861,-0.153879,528582,165929
Hackney Central,2,E8 1LL,51.547257,-0.05559,534922,184943
Hackney Downs,2,E8 1LA,51.549078,-0.060185,534598,185137
Hackney Wick,2,E9 5ER,51.543558,-0.02526,537036,184588
Hadley Wood,6,EN4 0EJ,51.668403,-0.176581,526197,198199
Haggerston,2,E8 4DY,51.538685,-0.075595,533560,183953
Hainault,4,IG6 3BD,51.602845,0.094109,545124,191411
Hammersmith (District),2,W6 9YA,51.491819,-0.222861,523474,178483
Hammersmith (Met.),2,W6 0ED,51.493483,-0.22464,523346,178665
Hampstead,2,NW3 1QG,51.556542,-0.178015,526408,185757
Hampstead Heath,3,NW3 2QD,51.5552,-0.164566,527344,185631
Hampton,6,TW12 2HU,51.415879,-0.372135,513299,169797
Hampton Court,6,KT8 9AE,51.402293,-0.342757,515376,168332
Hampton Wick,6,KT1 4DQ,51.41464,-0.313104,517407,169752
Hanger Lane,3,W5 1DL,51.530072,-0.292996,518506,182621
Hanwell,4,W7 3EB,51.512185,-0.338052,515426,180560
Harlesden,3,NW10 8UT,51.536258,-0.257496,520952,183367
Harold Wood,6,RM3 0BL,51.593203,0.234204,554858,190626
Harringay,3,N4 1RW,51.577358,-0.105208,531395,188200
Harringay Green Lanes,3,N4 2NU,51.577146,-0.098217,531880,188189
Harrington Road,"3,4,5,6",SE25 4NF,51.39979,-0.0607,535002,168535
Harrow and Wealdstone,5,HA3 7RF,51.592594,-0.334253,515486,189508
Harrow-on-the-Hill,5,HA1 1BB,51.579388,-0.337002,515329,188035
Hatch End,6,HA5 5LZ,51.609828,-0.369179,513024,191370
Hatton Cross,"5,6",TW6 3PF,51.466685,-0.423381,509614,175369
Haydons Road,3,SW19 8SL,51.425457,-0.188929,526012,171161
Hayes,5,BR2 7EN,51.375737,0.010143,540003,165993
Hayes and Harlington,5,UB3 4BX,51.503048,-0.420642,509717,179417
Headstone Lane,5,HA2 6NB,51.602499,-0.356908,513892,190574
Heathrow Terminal 4,6,TW6 3AA,51.45978,-0.44773,507939,174565
Heathrow Terminal 5,6,TW6 2GA,51.470025,-0.490647,504934,175642
Heathrow Terminals 1 2 3,6,TW6 1EB,51.471289,-0.452407,507587,175838
Hendon,"3,4",NW4 4PT,51.580075,-0.238631,522143,188271
Hendon Central,"3,4",NW4 3AS,51.583133,-0.226734,522959,188631
Herne Hill,"2,3",SE24 0JW,51.453991,-0.102563,531934,174486
Heron Quays,2,E14 4JH,51.503387,-0.021954,537386,180127
High Barnet,5,EN5 5RP,51.651688,-0.194165,525027,196310
High Street Kensington,1,W8 5SA,51.500729,-0.191566,525622,179527
Highams Park,4,E4 9LA,51.608356,-0.000135,538581,191841
Highbury and Islington,2,N1 1SE,51.546495,-0.104082,531562,184770
Highgate,3,N6 5BH,51.577646,-0.146935,528503,188158
Hillingdon,6,UB10 9NR,51.553777,-0.449898,507567,185015
Hither Green,3,SE13 5NF,51.452402,-0.000971,538997,174497
Holborn,1,WC2B 6AA,51.517236,-0.119841,530553,181488
Holland Park,2,W11 3RB,51.507146,-0.206558,524564,180215
Holloway Road,2,N7 8HS,51.552816,-0.112936,530930,185457
Homerton,2,E9 5SD,51.546595,-0.038512,536108,184901
Honor Oak Park,3,SE23 3LE,51.450648,-0.044153,536002,174221
Hornchurch,6,RM12 6LS,51.554355,0.218927,553931,186274
Hornsey,3,N8 8SE,51.586475,-0.111816,530911,189202
Hounslow,5,TW3 3DL,51.462504,-0.361796,513902,174998
Hounslow Central,4,TW3 1JG,51.470925,-0.365958,513592,175928
Hounslow East,4,TW3 4AB,51.473707,-0.355275,514327,176254
Hounslow West,5,TW3 3DH,51.473105,-0.385708,512215,176140
Hoxton,"1,2",E2 8HR,51.531391,-0.075586,533582,183142
Hyde Park Corner,1,SW1X 7LY,51.502584,-0.152474,528330,179801
Ickenham,6,UB10 8PD,51.560824,-0.44158,508127,185811
Ilford,4,IG1 4DU,51.559142,0.068685,543501,186501
Imperial Wharf,2,SW6 2HA,51.474939,-0.182838,526299,176674
Island Gardens,2,E14 3FA,51.48795,-0.010493,538228,178432
Isleworth,4,TW7 4BX,51.475037,-0.337329,515570,176430
Iver,,SL0 9AU,51.508501,-0.50674,503729,179898
Kenley,6,CR8 5JA,51.3246,-0.10122,532400,160100
Kennington,2,SE11 4JQ,51.488662,-0.105071,531660,178337
Kensal Green,2,NW10 5JT,51.530524,-0.224713,523241,182784
Kensal Rise,2,NW10 3NT,51.534215,-0.220821,523501,183201
Kensington (Olympia),2,W14 0NE,51.497879,-0.210379,524324,179178
Kent House,4,BR3 1JF,51.412718,-0.045816,535999,170000
Kentish Town,2,NW5 2AA,51.550009,-0.140471,529029,185096
Kentish Town West,2,NW5 3LD,51.546548,-0.146756,528603,184700
Kenton,4,HA3 0XS,51.581496,-0.315217,516833,188304
Kew Bridge,3,TW8 0EF,51.490004,-0.288846,518898,178172
Kew Gardens,"3,4",TW9 3PZ,51.476789,-0.285381,519173,176708
Kidbrooke,3,SE3 9NF,51.46269,0.0283,540999,175697
Kilburn,2,NW6 7QL,51.546944,-0.204633,524589,184644
Kilburn High Road,2,NW6 7QL,51.537267,-0.191113,525553,183591
Kilburn Park,2,NW6 5AD,51.535135,-0.193966,525361,183349
King George V,3,E16 2JF,51.502009,0.062206,543231,180135
King Henry's Drive,"3,4,5,6",CR0 0LH,51.345364,-0.020265,537978,162558
King's Cross,1,N1 9AL,51.530798,-0.122756,530312,182991
Kings Cross St. Pancras,1,N1 9AL,51.530312,-0.123872,530236,182935
Kingsbury,4,NW9 9EG,51.584876,-0.278602,519361,188739
Kingston,6,KT1 1UJ,51.412641,-0.301141,518244,169549
Kingswood,6,KT20 6EN,51.294723,-0.211233,524816,156585
Knightsbridge,1,SW3 1ED,51.501355,-0.160664,527765,179650
Knockholt,6,TN14 7HR,51.345752,0.130831,548499,162896
Ladbroke Grove,2,W10 6HJ,51.51721,-0.210198,524284,181328
Ladywell,3,SE13 7XB,51.456192,-0.019244,537716,174884
Lambeth North,1,SE1 7XG,51.49913,-0.111768,531165,179489
Lancaster Gate,1,W2 4QH,51.511891,-0.17543,526711,180796
Langdon Park,2,E14 6NW,51.518884,-0.015214,537807,181863
Langley,,SL3 6DB,51.508061,-0.541771,501299,179800
Latimer Road,2,W10 6SZ,51.513958,-0.21746,523789,180954
Lea Bridge,3,E10 7PG,51.566636,-0.036683,536175,187133
Lebanon Road,"3,4,5,6",CR0 6SF,51.375199,-0.084974,533385,165756
Lee,3,SE12 9JG,51.449459,0.013365,540002,174197
Leicester Square,1,WC2H 0AP,51.511291,-0.128242,529987,180812
Lewisham,"2,3",SE13 7RY,51.464881,-0.012433,538163,175863
Leyton,3,E10 5PS,51.558132,-0.006465,538295,186244
Leyton Midland Road,3,E10 6JT,51.569364,-0.008066,538150,187490
Leytonstone,"3,4",E11 1HE,51.568522,0.00914,539345,187429
Leytonstone High Road,3,E11 4RE,51.563807,0.008254,539298,186903
Limehouse,2,E14 7JD,51.512312,-0.03938,536150,181087
Liverpool Street,1,EC2M 7PR,51.517598,-0.08225,533160,181596
Lloyd Park,"3,4,5,6",CR0 5RA,51.364275,-0.080746,533711,164549
London Bridge,1,SE1 2SW,51.504674,-0.086006,532937,180152
London City Airport,3,E16 2DS,51.50369,0.047873,542231,180294
London Fields,2,E8 3PH,51.540719,-0.0577,534795,184212
Loughborough Junction,2,SW9 8SA,51.466679,-0.102497,531902,175897
Loughton,6,IG10 4PD,51.641571,0.055279,542314,195641
Lower Sydenham,4,SE26 5AU,51.424847,-0.03333,536831,171372
Maida Vale,2,W9 1JS,51.529995,-0.185433,525967,182792
Maidenhead,,SL6 1EW,51.518667,-0.722675,488724,180745
Malden Manor,4,KT3 5PN,51.384609,-0.26112,521101,166497
Manor House,"2,3",N4 1BZ,51.570747,-0.095685,532074,187482
Manor Park,"3,4",E12 5EP,51.552854,0.045724,541929,185757
Mansion House,1,EC4N 6JD,51.512092,-0.094198,532347,180962
Marble Arch,1,W1C 2JS,51.513965,-0.158571,527875,181056
Maryland,3,E15 1SA,51.545668,0.005682,539175,184881
Marylebone,1,NW1 6JJ,51.522396,-0.163493,527510,181985
Maze Hill,3,SE10 9XG,51.483014,0.003205,539194,177909
Meridian Water,4,N18 3HF,51.608312,-0.05096,535062,191741
Merton Park,"3,4,5,6",SW19 3HA,51.413391,-0.201342,525182,169798
Mile End,2,E3 4DH,51.525311,-0.032666,536577,182545
Mill Hill Broadway,4,NW7 2JU,51.612871,-0.249537,521300,191900
Mill Hill East,4,NW7 1BS,51.608316,-0.209896,524057,191460
Mitcham,"3,4,5,6",CR4 4BD,51.397488,-0.170872,527345,168082
Mitcham Eastfields,3,CR4 2ND,51.408384,-0.154002,528488,169323
Mitcham Junction,4,CR4 4HN,51.393042,-0.157437,528292,167611
Monument,1,EC4R 9AA,51.51063,-0.086188,532907,180814
Moor Park,"6,7",HA6 2JQ,51.62993,-0.432913,508563,193509
Moorgate,1,EC2M 6TX,51.518437,-0.089018,532688,181677
Morden,4,SM4 5AZ,51.402186,-0.194852,525664,168563
Morden Road,"3,4,5,6",SW19 3BX,51.408872,-0.192806,525788,169310
Morden South,4,SM4 5AN,51.396307,-0.200302,525301,167900
Mornington Crescent,2,NW1 2JA,51.534362,-0.138744,529193,183359
Mortlake,3,SW14 8LN,51.468168,-0.267203,520458,175779
Motspur Park,4,KT3 6JJ,51.395319,-0.23944,522581,167724
Mottingham,4,SE9 4EN,51.439825,0.050324,542600,173197
Mudchute,2,E14 9UW,51.491236,-0.01496,537908,178789
Neasden,3,NW10 1PH,51.554627,-0.250115,521415,185422
New Addington,"3,4,5,6",CR0 0DE,51.34259,-0.017383,538187,162255
New Barnet,5,EN5 1QT,51.648536,-0.17297,526502,195996
New Beckenham,4,BR3 1QW,51.416705,-0.035305,536718,170463
New Cross,2,SE14 6LD,51.476429,-0.032279,536750,177110
New Cross Gate,2,SE14 6AR,51.475265,-0.039529,536250,176967
New Eltham,4,SE9 2AB,51.437691,0.070445,544005,172999
New Malden,4,KT3 4PX,51.403555,-0.256218,521392,168612
New Southgate,4,N11 1QH,51.614093,-0.14301,528672,192218
Newbury Park,4,IG2 7RN,51.575639,0.090303,544947,188378
Nine Elms,1,SW8 2NA,51.480001,-0.128501,530058,177332
Norbiton,5,KT2 7AZ,51.411909,-0.2842,519424,169495
Norbury,3,SW16 3RW,51.411188,-0.122799,530650,169690
North Acton,"2,3",W3 6UP,51.523432,-0.25973,520831,181937
North Dulwich,"2,3",SE21 7BX,51.454482,-0.087919,532950,174567
North Ealing,3,W5 3AF,51.517622,-0.288994,518816,181243
North Greenwich,"2,3",SE10 0PH,51.500255,0.003586,539168,179827
North Harrow,5,HA2 7SR,51.584631,-0.362633,513540,188578
North Sheen,3,TW9 4QA,51.465419,-0.286397,519132,175442
North Wembley,4,HA0 3NT,51.562396,-0.303948,517663,186198
Northfields,3,W13 9QU,51.500491,-0.315065,517051,179296
Northolt,5,UB5 4AA,51.548212,-0.368441,513228,184519
Northolt Park,5,UB5 4XE,51.557618,-0.359434,513829,185579
Northumberland Park,3,N17 0HY,51.602016,-0.054132,534861,191035
Northwick Park,4,HA3 0AT,51.578508,-0.318199,516634,187967
Northwood,6,HA6 2XL,51.611213,-0.423838,509236,191441
Northwood Hills,6,HA6 1NZ,51.600802,-0.409311,510267,190305
Norwood Junction,4,SE25 5AG,51.396954,-0.07521,534001,168193
Notting Hill Gate,"1,2",W11 3HT,51.509375,-0.195922,525296,180481
Nunhead,2,SE15 3XE,51.46658,-0.05368,535293,175975
Oakleigh Park,4,EN5 1BU,51.637676,-0.166195,527001,194800
Oakwood,5,N14 4UT,51.647638,-0.131854,529349,195968
Ockendon,7,RM15 6PD,51.52199,0.290483,559004,182828
Old Street,1,EC1V 9NR,51.525581,-0.087623,532764,182474
Orpington,6,BR6 0SX,51.37352,0.089029,545500,165900
Osterley,4,TW7 4PU,51.481216,-0.352096,514529,177094
Oval,2,SE11 4PP,51.481412,-0.113321,531108,177516
Oxford Circus,1,W1C 2JS,51.515223,-0.140836,529102,181227
Paddington,1,W2 1RH,51.515394,-0.175737,526680,181185
Palmers Green,4,N13 4PN,51.618787,-0.110272,530925,192798
Park Royal,3,W5 3EL,51.526834,-0.284929,519074,182274
Parsons Green,2,SW6 4HU,51.47496,-0.201124,525029,176645
Peckham Rye,2,SE15 5DQ,51.469511,-0.069984,534152,176271
Penge East,4,SE20 7BQ,51.419975,-0.054495,535374,170791
Penge West,4,SE20 8NU,51.418063,-0.060646,534952,170567
Perivale,4,UB6 7NP,51.536341,-0.32307,516404,183270
Petts Wood,5,BR5 1LZ,51.388599,0.07448,544440,167548
Phipps Bridge,"3,4,5,6",CR4 3QN,51.403376,-0.182297,526534,168717
Piccadilly Circus,1,W1J 9HS,51.509697,-0.133712,529612,180625
Pimlico,1,SW1V 2JA,51.489553,-0.133108,529711,178386
Pinner,5,HA5 5LZ,51.592361,-0.381224,512233,189409
Plaistow,3,E13 0DY,51.531288,0.017781,540058,183305
Plumstead,4,SE18 7EA,51.489793,0.0843,544803,178820
Ponders End,5,EN3 4LA,51.642731,-0.034525,536097,195599
Pontoon Dock,3,E16 2SB,51.502216,0.033326,541226,180102
Poplar,2,E14 0DS,51.507588,-0.017275,537698,180603
Preston Road,4,HA3 0PS,51.572103,-0.294972,518260,187292
Prince Regent,3,E16 3HE,51.509435,0.033489,541215,180905
Pudding Mill Lane,"2,3",E15 2PH,51.534328,-0.012769,537930,183585
Purfleet,7,RM16 1PL,51.481173,0.236775,555417,178174
Purley,6,CR8 2AP,51.337363,-0.113614,531500,161497
Purley Oaks,6,CR2 0ND,51.346989,-0.098815,532503,162594
Putney,"2,3",SW15 1RT,51.460952,-0.216603,523992,175061
Putney Bridge,2,SW6 3UH,51.467865,-0.209365,524476,175842
Queens Park,2,NW6 6HJ,51.534312,-0.204798,524612,183239
Queens Road Peckham,2,SE15 2JR,51.474285,-0.057355,535015,176825
Queensbury,4,HA8 5NP,51.593883,-0.286332,518802,189728
Queenstown Road,2,SW8 3RX,51.474959,-0.147355,528763,176738
Queensway,1,W2 4SS,51.510449,-0.18742,525883,180615
Rainham,6,RM13 9YH,51.517341,0.190692,552097,182099
Ravensbourne,4,BR3 5HE,51.41387,-0.006938,538699,170201
Ravenscourt Park,2,W6 0UG,51.494068,-0.235969,522558,178711
Rayners Lane,5,HA5 5EG,51.575396,-0.371061,512979,187538
Raynes Park,4,SW20 8NE,51.409375,-0.229913,523206,169303
Reading,,RG1 1LZ,51.458785,-0.971878,471527,173813
Rectory Road,2,N16 7QB,51.558763,-0.068386,534001,186199
Redbridge,4,IG4 5BG,51.576367,0.045394,541833,188371
Reedham,6,CR8 2DG,51.331442,-0.123403,530835,160821
Reeves Corner,"3,4,5,6",CR0 1XP,51.375277,-0.10638,531895,165726
Regents Park,1,NW1 5HA,51.52381,-0.145344,528765,182174
Richmond,4,TW9 2AZ,51.463232,-0.301739,518072,175174
